ID_Cliente,Recency,Frequency,Monetary,Avg_Ticket,CLV_60D,Log_CLV_60D,Avg_Purchase_Interval
1000,35,2,920404,460202.0,120196.0,11.696887342369116,50.0
1001,41,5,1244040,248808.0,0.0,0.0,14.25
1002,30,2,831268,415634.0,0.0,0.0,46.0
1003,41,2,407090,203545.0,64158.0,11.06911965638402,48.0
1004,111,1,721545,721545.0,0.0,0.0,999.0
1005,89,2,1460208,730104.0,317245.0,12.667432777144114,1.0
1006,77,1,7984,7984.0,0.0,0.0,999.0
1007,28,8,2976345,372043.125,549667.0,13.217069738583238,13.0
1008,63,3,220353,73451.0,95207.0,11.463819250862276,18.0
1010,31,2,311053,155526.5,0.0,0.0,32.0
1011,85,1,562812,562812.0,38099.0,10.547969561114792,999.0
1013,106,1,403386,403386.0,1107433.0,13.917556185446196,999.0
1014,28,3,479429,159809.66666666666,1632107.0,14.305382988787212,36.5
1015,9,2,249336,124668.0,22254.0,10.010321981449955,33.0
1016,11,3,395120,131706.66666666666,976619.0,13.791852909613599,37.0
1017,54,2,1522053,761026.5,560244.0,13.236129467036111,33.0
1018,46,2,771364,385682.0,363876.0,12.804571177425812,17.0
1019,31,2,692653,346326.5,0.0,0.0,50.0
1022,89,3,2226129,742043.0,96041.0,11.472540874774753,11.0
1023,6,2,160938,80469.0,75051.0,11.225936485607265,16.0
1024,40,2,678861,339430.5,1399500.0,14.151626302478297,41.0
1025,47,2,129893,64946.5,1657.0,7.4133673356952405,35.0
1026,22,1,417882,417882.0,0.0,0.0,999.0
1028,64,2,563737,281868.5,0.0,0.0,19.0
1029,19,2,71263,35631.5,760697.0,13.541991711824581,93.0
1031,10,3,1867137,622379.0,2363557.0,14.675678668791631,5.5
1032,28,5,1706730,341346.0,11262.0,9.329278296047697,12.5
1033,107,1,667707,667707.0,0.0,0.0,999.0
1034,95,2,819840,409920.0,171016.0,12.04951824574811,19.0
1035,90,2,1133873,566936.5,307863.0,12.637413405998517,21.0
1036,0,6,1207488,201248.0,16785.0,9.728300484642773,13.6
1037,15,3,855609,285203.0,6510.0,8.781248333236862,22.0
1038,55,2,167614,83807.0,0.0,0.0,52.0
1039,80,2,465058,232529.0,55335.0,10.92117897028042,35.0
1040,40,3,1156434,385478.0,371088.0,12.824197205003331,15.0
1041,22,5,1004646,200929.2,179510.0,12.097991766369894,23.25
1042,26,4,697193,174298.25,55674.0,10.92728649212557,26.0
1044,20,2,664123,332061.5,189354.0,12.151378839107526,9.0
1045,9,2,249048,124524.0,0.0,0.0,14.0
1046,12,2,432618,216309.0,79481.0,11.283285859912317,48.0
1047,97,1,123510,123510.0,0.0,0.0,999.0
